City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Zhigansk,RU,2019-12-30 03:25:10,66.77,123.37,-26.46,94,100,20.38
70,Sao Filipe,CV,2019-12-30 03:25:10,14.9,-24.5,71.49,67,0,12.26
71,Khatanga,RU,2019-12-30 03:25:10,71.98,102.47,-32.57,97,42,6.46
72,Union,US,2019-12-30 03:25:10,34.72,-81.62,66.2,93,90,5.82
73,Atuona,PF,2019-12-30 03:25:10,-9.8,-139.03,80.73,74,4,12.82
74,Fengcheng,CN,2019-12-30 03:25:11,40.45,124.07,11.66,69,0,9.95
75,Pisco,PE,2019-12-30 03:25:11,-13.71,-76.2,69.8,88,20,3.36
76,Adrar,DZ,2019-12-30 03:25:11,27.87,-0.29,48.2,49,24,13.87
77,Wuwei,CN,2019-12-30 03:25:11,37.93,102.64,18.09,56,0,3.69
78,Grand Gaube,MU,2019-12-30 03:25:12,-20.01,57.66,77.0,100,75,27.51
79,Saint George,GR,2019-12-30 03:25:12,39.45,22.34,41.0,56,90,10.29
80,Bambous Virieux,MU,2019-12-30 03:25:12,-20.34,57.76,77.0,100,75,27.51
81,Sur,OM,2019-12-30 03:25:14,22.57,59.53,67.37,80,0,1.23
82,Chokurdakh,RU,2019-12-30 03:25:14,70.62,147.9,-30.41,84,65,7.07
83,East Angus,CA,2019-12-30 03:25:14,45.48,-71.66,26.01,73,1,5.82
84,Thompson,CA,2019-12-30 03:25:14,55.74,-97.86,-2.2,84,75,3.36
85,Puerto Ayora,EC,2019-12-30 03:24:38,-0.74,-90.35,75.0,88,57,5.01
86,Kahului,US,2019-12-30 03:22:44,20.89,-156.47,80.6,57,40,19.46
87,Maceio,BR,2019-12-30 03:25:15,-9.67,-35.74,75.2,88,20,2.24
88,Guilin,CN,2019-12-30 03:25:15,25.28,110.29,57.2,82,90,2.24
89,Coquimbo,CL,2019-12-30 03:25:15,-29.95,-71.34,59.0,87,40,4.7
90,Alyangula,AU,2019-12-30 03:25:16,-13.85,136.42,91.4,52,75,10.29
91,Prince Rupert,CA,2019-12-30 03:25:16,54.32,-130.32,44.6,93,90,14.99
92,Soe,EE,2019-12-30 03:25:16,57.91,26.05,37.99,86,90,18.34
93,Biltine,TD,2019-12-30 03:25:16,14.53,20.93,60.64,20,100,8.97
94,Portland,US,2019-12-30 03:25:16,43.66,-70.25,35.6,59,90,4.7
95,Develi,TR,2019-12-30 03:25:17,38.39,35.49,35.6,92,75,17.22
96,Kamaishi,JP,2019-12-30 03:25:17,39.28,141.86,32.0,72,75,1.12
97,Greeneville,US,2019-12-30 03:25:18,36.16,-82.83,72.0,64,75,9.17
98,Groningen,NL,2019-12-30 03:23:58,53.22,6.57,42.01,60,87,11.41
99,Punta Arenas,CL,2019-12-30 03:25:19,-53.16,-70.91,48.2,70,8,5.82
100,Roald,NO,2019-12-30 03:25:21,62.58,6.12,48.2,76,100,31.09
101,Kurumkan,RU,2019-12-30 03:25:21,54.33,110.32,-17.64,85,93,1.43
102,Longyearbyen,NO,2019-12-30 03:25:21,78.22,15.63,12.2,56,0,21.92
103,Grindavik,IS,2019-12-30 03:25:21,63.84,-22.43,35.6,86,0,9.17
104,Dikson,RU,2019-12-30 03:25:22,73.51,80.55,-1.34,92,100,31.07
105,Avarua,CK,2019-12-30 03:25:24,-21.21,-159.78,77.0,78,100,6.93
106,Lebu,ET,2019-12-30 03:25:24,8.96,38.73,53.6,62,20,2.24
107,Whitehorse,CA,2019-12-30 03:25:24,60.72,-135.06,30.0,74,90,16.11
108,Churapcha,RU,2019-12-30 03:25:24,62.0,132.43,-35.57,96,97,2.33
109,Alta Floresta,BR,2019-12-30 03:25:26,-9.87,-56.08,73.22,94,100,1.79
110,Kangaatsiaq,GL,2019-12-30 03:25:26,68.31,-53.46,19.65,84,100,10.63
111,La Ronge,CA,2019-12-30 03:25:26,55.1,-105.3,17.6,85,20,3.36
112,Norman Wells,CA,2019-12-30 03:25:27,65.28,-126.83,-14.8,62,40,21.92
113,Codrington,AU,2019-12-30 03:25:27,-28.95,153.24,89.01,40,98,14.99
114,Claremore,US,2019-12-30 03:25:27,36.31,-95.62,41.0,55,40,14.99
115,Yulara,AU,2019-12-30 03:25:28,-25.24,130.99,100.4,24,0,11.41
116,Butaritari,KI,2019-12-30 03:25:28,3.07,172.79,83.7,76,100,11.86
117,Shingu,JP,2019-12-30 03:25:29,33.72,135.99,55.4,93,75,14.99
118,Gweru,ZW,2019-12-30 03:25:29,-19.46,29.82,58.75,92,24,2.53
119,Ponta Do Sol,BR,2019-12-30 03:25:29,-20.63,-46.0,65.23,90,14,3.67
120,Maracai,BR,2019-12-30 03:25:29,-22.61,-50.67,75.18,67,96,8.25
121,Qaanaaq,GL,2019-12-30 03:25:30,77.48,-69.36,-10.28,89,100,1.34
122,Macaubas,BR,2019-12-30 03:25:30,-13.02,-42.7,67.8,89,18,2.24
123,Tomohon,ID,2019-12-30 03:25:30,1.33,124.84,87.8,70,40,11.41
124,Letlhakeng,BW,2019-12-30 03:25:30,-24.1,25.03,73.44,56,100,9.64
125,Lata,IN,2019-12-30 03:25:31,30.78,78.62,16.9,29,0,6.82
126,Weligama,LK,2019-12-30 03:25:31,5.97,80.42,77.83,73,84,5.73
127,Suihua,CN,2019-12-30 03:25:31,46.64,126.99,-12.03,93,97,6.44
128,Nokaneng,BW,2019-12-30 03:25:31,-19.66,22.19,73.65,74,14,4.59
129,Kailua,US,2019-12-30 03:25:31,21.39,-157.74,80.6,65,40,10.29
130,Esperance,AU,2019-12-30 03:25:32,-33.86,121.89,69.8,43,90,13.87
131,Muriti,TZ,2019-12-30 03:25:32,-1.99,32.93,66.2,93,20,8.01
132,Ixtapa,MX,2019-12-30 03:25:32,20.71,-105.21,73.99,78,75,2.24
133,Cherskiy,RU,2019-12-30 03:25:33,68.75,161.3,-34.96,100,4,3.42
134,Port Moresby,PG,2019-12-30 03:25:33,-9.47,147.16,83.19,74,94,9.19
135,Robertsport,LR,2019-12-30 03:25:34,6.75,-11.37,82.33,78,0,8.14
136,Rabaul,PG,2019-12-30 03:25:34,-4.2,152.17,84.33,71,0,6.26
137,Islamkot,PK,2019-12-30 03:25:34,24.7,70.18,56.52,19,0,8.88
138,Rudsar,IR,2019-12-30 03:25:34,37.14,50.29,51.8,100,56,3.8
139,Salalah,OM,2019-12-30 03:25:35,17.01,54.1,75.2,73,20,9.17
140,Faanui,PF,2019-12-30 03:25:35,-16.48,-151.75,81.73,76,100,12.24
141,Bhairab Bazar,BD,2019-12-30 03:25:35,24.06,90.98,62.6,87,40,4.9
142,Castelldefels,ES,2019-12-30 03:25:35,41.29,1.98,54.0,76,75,6.93
143,San Cristobal,HN,2019-12-30 03:25:36,14.68,-86.92,64.85,92,85,3.2
144,Gunjur,GM,2019-12-30 03:25:36,13.18,-16.76,69.8,49,24,3.36
145,Poretskoye,RU,2019-12-30 03:25:36,55.2,46.33,12.96,95,85,3.2
146,Cockburn Town,TC,2019-12-30 03:25:36,21.46,-71.14,78.6,73,35,20.11
147,Fuxin,CN,2019-12-30 03:25:36,42.02,121.65,5.49,62,0,12.73
148,Fairbanks,US,2019-12-30 03:23:12,64.84,-147.72,3.0,77,90,4.34
149,Tiksi,RU,2019-12-30 03:25:37,71.64,128.87,-19.93,82,100,12.62
150,Praia Da Vitoria,PT,2019-12-30 03:25:37,38.73,-27.07,48.2,93,20,9.01
151,Saskylakh,RU,2019-12-30 03:25:37,71.97,114.09,-28.55,92,90,5.37
152,Klaksvik,FO,2019-12-30 03:25:38,62.23,-6.59,46.4,81,82,26.4
153,Carnarvon,ZA,2019-12-30 03:25:38,-30.97,22.13,62.53,73,0,8.61
154,Vidim,CZ,2019-12-30 03:25:39,50.47,14.53,33.01,86,72,9.17
155,Klyuchi,RU,2019-12-30 03:25:39,52.25,79.17,26.08,97,100,4.72
156,Kaeo,NZ,2019-12-30 03:25:40,-35.1,173.78,78.01,74,0,3.0
157,Sioux Lookout,CA,2019-12-30 03:25:41,50.1,-91.92,15.8,85,90,8.05
158,Alekseyevsk,RU,2019-12-30 03:25:42,57.84,108.35,-7.91,83,100,4.25
159,Kalabo,ZM,2019-12-30 03:25:42,-15.0,22.67,67.8,88,100,3.22
160,Marawi,PH,2019-12-30 03:25:42,8.0,124.29,82.0,76,0,5.01
161,Horsham,AU,2019-12-30 03:25:43,-36.71,142.2,110.3,10,0,22.08
162,Talnakh,RU,2019-12-30 03:25:43,69.49,88.39,-9.4,76,100,26.84
163,Ostersund,SE,2019-12-30 03:25:43,63.18,14.64,41.0,80,100,10.29
164,Luderitz,NA,2019-12-30 03:25:44,-26.65,15.16,61.21,90,33,19.6
165,Khorixas,NA,2019-12-30 03:25:44,-20.37,14.96,70.93,40,99,6.38
166,Awbari,LY,2019-12-30 03:25:45,26.59,12.77,41.61,54,0,5.01
167,Sao Joao Da Barra,BR,2019-12-30 03:25:45,-21.64,-41.05,75.74,83,0,6.26
168,Ust-Ordynskiy,RU,2019-12-30 03:25:45,52.8,104.75,3.2,59,0,8.95
169,Nogliki,RU,2019-12-30 03:25:46,51.8,143.14,2.59,84,45,4.97
170,Huangpi,CN,2019-12-30 03:25:46,30.88,114.37,46.4,81,40,4.47
171,Nanortalik,GL,2019-12-30 03:25:46,60.14,-45.24,27.16,67,96,9.22
172,Nkoteng,CM,2019-12-30 03:25:46,4.5,12.12,67.08,98,11,1.21
173,Tuktoyaktuk,CA,2019-12-30 03:25:46,69.44,-133.03,-20.2,75,75,10.29
174,Requena,ES,2019-12-30 03:25:47,39.49,-1.1,48.99,81,75,4.7
175,Arman,RU,2019-12-30 03:25:47,59.7,150.17,12.4,67,100,7.9
176,Ahipara,NZ,2019-12-30 03:25:47,-35.17,173.16,78.01,74,7,3.0
177,Neiafu,TO,2019-12-30 03:25:47,-18.65,-173.98,84.2,89,75,11.41
178,Saint Anthony,US,2019-12-30 03:25:47,43.97,-111.68,19.4,79,90,3.36
179,Port-Gentil,GA,2019-12-30 03:25:48,-0.72,8.78,82.18,78,100,9.71
180,Avera,US,2019-12-30 03:25:48,33.19,-82.53,71.6,100,90,6.93
181,Frontera,MX,2019-12-30 03:25:48,18.53,-92.64,71.6,100,5,1.86
182,Anadyr,RU,2019-12-30 03:25:49,64.73,177.51,-25.01,74,75,13.42
183,Gornyy,RU,2019-12-30 03:25:49,51.76,48.54,10.33,94,4,5.3
184,Baringo,KE,2019-12-30 03:25:49,0.47,35.97,68.81,66,12,4.43
185,Mareeba,AU,2019-12-30 03:25:50,-16.99,145.42,89.01,70,75,10.29
186,Kampot,KH,2019-12-30 03:24:59,10.62,104.18,84.2,66,40,8.05
187,Castro,CL,2019-12-30 03:25:51,-42.48,-73.76,53.6,76,100,6.93
188,West Lafayette,US,2019-12-30 03:25:51,40.43,-86.91,55.4,93,90,4.7
189,Sing Buri,TH,2019-12-30 03:25:51,14.89,100.4,87.01,44,0,10.92
190,Port Macquarie,AU,2019-12-30 03:25:51,-31.43,152.91,96.01,26,0,19.46
191,Juxtlahuaca,MX,2019-12-30 03:25:52,17.43,-99.15,60.19,78,74,2.55
192,Rocha,UY,2019-12-30 03:25:52,-34.48,-54.34,65.55,95,67,4.92
193,Aklavik,CA,2019-12-30 03:25:53,68.22,-135.01,-16.6,75,90,9.17
194,Porto Nacional,BR,2019-12-30 03:25:53,-10.7,-48.41,75.2,88,20,4.7
195,Pouembout,NC,2019-12-30 03:25:54,-21.12,164.9,83.21,50,71,4.63
196,Glace Bay,CA,2019-12-30 03:25:54,46.2,-59.96,27.0,68,90,13.87
197,Corinto,CO,2019-12-30 03:25:54,3.17,-76.26,73.4,78,75,9.17
198,Salinopolis,BR,2019-12-30 03:25:55,-0.61,-47.36,82.72,78,100,15.32
199,Bodden Town,KY,2019-12-30 03:21:49,19.28,-81.25,79.0,78,33,7.02
200,Oranjemund,ZA,2019-12-30 03:25:56,-28.55,16.43,63.27,79,100,6.33
201,Iqaluit,CA,2019-12-30 03:25:56,63.75,-68.52,3.2,77,75,0.72
202,Carbonia,IT,2019-12-30 03:22:14,39.17,8.53,37.4,86,0,3.36
203,Matadi,CD,2019-12-30 03:25:57,-5.83,13.46,72.19,96,100,2.62
204,Victoria,BN,2019-12-30 03:25:57,5.28,115.24,87.8,58,75,2.24
205,Christchurch,NZ,2019-12-30 03:25:57,-43.53,172.64,64.99,77,100,11.41
206,Rameswaram,IN,2019-12-30 03:25:58,9.28,79.3,79.43,79,26,13.51
207,Hervey Bay,AU,2019-12-30 03:25:58,-25.3,152.85,86.0,45,40,17.22
