City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
68,Mar Del Plata,AR,2020-01-04 00:46:30,-46.43,-67.52,71.29,38,49,7.31
69,Lebu,ET,2020-01-04 00:46:30,8.96,38.73,57.2,67,75,5.82
70,Esperance,AU,2020-01-04 00:46:31,-33.86,121.89,62.6,48,90,8.05
71,Ahipara,NZ,2020-01-04 00:46:31,-35.17,173.16,62.71,73,99,20.2
72,Avarua,CK,2020-01-04 00:46:31,-21.21,-159.78,80.6,69,0,13.87
73,Havelock,US,2020-01-04 00:46:31,34.88,-76.9,71.6,100,40,16.11
74,Senanga,ZM,2020-01-04 00:46:32,-16.1,23.3,71.6,73,99,4.38
75,El Alto,BO,2020-01-04 00:43:48,-16.5,-68.19,48.2,81,75,2.24
76,Port-Cartier,CA,2020-01-04 00:46:32,50.03,-66.88,21.99,79,90,2.24
77,East London,ZA,2020-01-04 00:46:32,-33.02,27.91,74.3,95,100,14.18
78,Grand Gaube,MU,2020-01-04 00:46:33,-20.01,57.66,77.0,94,40,8.68
79,Albany,US,2020-01-04 00:44:54,42.65,-73.75,44.01,93,90,1.59
80,Cape Town,ZA,2020-01-04 00:43:55,-33.93,18.42,66.99,88,5,13.87
81,Shumikha,RU,2020-01-04 00:46:33,55.23,63.28,13.42,88,100,14.43
82,Jaicos,BR,2020-01-04 00:46:33,-7.36,-41.14,76.08,78,97,2.3
83,Atuona,PF,2020-01-04 00:46:34,-9.8,-139.03,80.46,70,0,15.23
84,Charqueadas,BR,2020-01-04 00:46:34,-29.96,-51.62,73.0,83,40,14.99
85,Vikulovo,RU,2020-01-04 00:46:34,55.07,40.96,30.42,89,100,12.26
86,Bolotnoye,RU,2020-01-04 00:46:35,55.67,84.39,19.2,93,100,12.68
87,Khatanga,RU,2020-01-04 00:46:35,71.98,102.47,-3.86,98,100,5.32
88,Borgarnes,IS,2020-01-04 00:46:35,64.54,-21.92,21.2,62,51,8.05
89,Port Hedland,AU,2020-01-04 00:46:36,-20.31,118.58,87.8,58,0,10.29
90,San Patricio,PY,2020-01-04 00:46:36,-26.98,-56.83,76.98,59,0,5.12
91,Hatillo,PR,2020-01-04 00:46:36,18.49,-66.83,77.0,84,40,13.87
92,Pacific Grove,US,2020-01-04 00:46:37,36.62,-121.92,64.4,48,1,7.78
93,Aklavik,CA,2020-01-04 00:46:37,68.22,-135.01,-14.8,68,40,8.05
94,Cehegin,ES,2020-01-04 00:42:31,38.09,-1.8,50.0,85,98,5.01
95,Upernavik,GL,2020-01-04 00:46:37,72.79,-56.15,-9.78,98,100,16.82
96,Torbay,CA,2020-01-04 00:46:38,47.66,-52.73,32.0,80,40,25.28
97,Hilo,US,2020-01-04 00:42:30,19.71,-155.08,82.4,58,20,8.05
98,Phulabani,IN,2020-01-04 00:46:38,20.47,84.23,61.68,96,85,1.25
99,Xilagani,GR,2020-01-04 00:46:39,40.98,25.42,34.0,66,52,1.88
100,Port Alfred,ZA,2020-01-04 00:46:39,-33.59,26.89,69.01,97,100,12.86
101,Victoria,BN,2020-01-04 00:46:39,5.28,115.24,82.4,78,75,3.36
102,Oranjemund,ZA,2020-01-04 00:46:39,-28.55,16.43,59.22,94,2,10.58
103,Hami,CN,2020-01-04 00:46:40,42.84,93.51,14.65,65,0,2.19
104,Punta Arenas,CL,2020-01-04 00:46:40,-53.16,-70.91,51.8,62,75,4.7
105,Provideniya,RU,2020-01-04 00:46:40,64.42,-173.23,-13.18,68,0,9.13
106,Omboue,GA,2020-01-04 00:46:40,-1.57,9.26,74.93,96,100,2.77
107,Hualmay,PE,2020-01-04 00:46:41,-11.1,-77.61,69.62,77,99,5.61
108,Petukhovo,RU,2020-01-04 00:46:41,55.06,67.89,13.3,92,98,15.55
109,Biak,ID,2020-01-04 00:46:42,-0.91,122.88,82.76,74,100,10.2
110,Talca,CL,2020-01-04 00:46:42,-35.43,-71.66,80.6,42,0,6.93
111,Ko Samui,TH,2020-01-04 00:46:42,9.54,99.94,80.6,83,20,6.93
112,Necochea,AR,2020-01-04 00:46:10,-38.55,-58.74,68.22,65,0,15.3
113,Buchanan,LR,2020-01-04 00:46:43,5.88,-10.05,71.6,94,20,2.91
114,Cafarnaum,BR,2020-01-04 00:46:43,-11.69,-41.47,66.87,92,100,3.09
115,Roald,NO,2020-01-04 00:46:43,62.58,6.12,37.4,69,100,25.28
116,Methoni,GR,2020-01-04 00:42:04,36.82,21.7,46.0,50,5,4.7
117,Bluff,AU,2020-01-04 00:46:44,-23.58,149.07,78.57,56,59,11.39
118,Katsuura,JP,2020-01-04 00:46:44,33.93,134.5,53.01,65,75,9.17
119,Cache Creek,CA,2020-01-04 00:46:44,50.81,-121.33,55.4,43,90,21.92
120,Kruisfontein,ZA,2020-01-04 00:46:45,-34.0,24.73,67.41,91,58,1.48
121,Zhanakorgan,KZ,2020-01-04 00:46:45,43.91,67.25,35.94,90,100,10.71
122,Berlevag,NO,2020-01-04 00:46:45,70.86,29.09,36.81,74,42,18.28
123,Mari-Turek,RU,2020-01-04 00:46:46,56.79,49.62,30.97,91,100,17.56
124,Arcos De La Frontera,ES,2020-01-04 00:46:46,36.75,-5.81,48.0,93,73,4.7
125,Tuatapere,NZ,2020-01-04 00:46:46,-46.13,167.69,53.01,65,100,15.99
126,Sinnamary,GF,2020-01-04 00:46:46,5.38,-52.96,80.2,77,89,11.56
127,Katherine,AU,2020-01-04 00:46:47,-14.47,132.26,80.6,78,40,5.82
128,Bathsheba,BB,2020-01-04 00:46:47,13.22,-59.52,78.8,74,20,6.93
129,Abu Kamal,SY,2020-01-04 00:46:47,34.45,40.92,48.96,69,65,6.2
130,Ovsyanka,RU,2020-01-04 00:46:47,53.58,126.91,-21.14,97,57,0.74
131,Bredasdorp,ZA,2020-01-04 00:42:42,-34.53,20.04,68.0,68,11,2.24
132,Mahebourg,MU,2020-01-04 00:46:48,-20.41,57.7,77.0,94,40,4.23
133,Balkanabat,TM,2020-01-04 00:46:48,39.51,54.36,36.01,71,21,4.52
